run,modulation,symbol_rate,ecc,interleaving_depth,burst_rate_per_s,burst_length_ms,raw_ber,post_ecc_ber,clean_decode,usable_MB
68,16QAM,7200,hamming74,64,0.1,100,2.9365e-04,1.2330e-09,True,3.7029
69,16QAM,7200,hamming74,64,0.1,100,3.7233e-04,1.8357e-09,True,3.7029
70,16QAM,7200,hamming74,64,0.1,100,2.4173e-04,1.2180e-09,True,3.7029
71,16QAM,7200,hamming74,64,0.1,100,3.3031e-04,1.6416e-09,False,0.0
72,16QAM,7200,hamming74,64,0.1,100,2.9668e-04,1.1745e-09,True,3.7029
73,16QAM,7200,hamming74,64,0.1,100,2.0430e-04,1.6379e-09,True,3.7029
74,16QAM,7200,hamming74,64,0.1,100,2.9694e-04,2.3046e-09,True,3.7029
75,16QAM,7200,hamming74,64,0.1,100,3.3712e-04,1.4691e-09,True,3.7029
76,16QAM,7200,hamming74,64,0.1,100,2.0092e-04,1.3384e-09,True,3.7029
77,16QAM,7200,hamming74,64,0.1,100,1.7521e-04,2.0626e-09,True,3.7029
78,16QAM,7200,hamming74,64,0.1,100,2.1830e-04,1.1695e-09,True,3.7029
79,16QAM,7200,hamming74,64,0.1,100,2.1622e-04,1.0624e-09,True,3.7029
