run,modem,features,modulation,symbol_rate,ecc,interleaving_depth,burst_rate_per_s,burst_length_ms,raw_ber,post_ecc_ber,clean_decode,aggregate_clean_decode_rate,snr_margin_gain_db_equiv,wf_margin_at_equal_clean_pct
41,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.2464e-04,3.0037e-09,True,0.9667,0.0,0.07
42,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.0895e-04,1.4622e-09,True,0.9667,0.0,0.07
43,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.2904e-04,1.9365e-09,True,0.9667,0.0,0.07
44,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.1147e-04,1.8247e-09,True,0.9667,0.0,0.07
45,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.1172e-04,1.4708e-09,True,0.9667,0.0,0.07
46,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.2919e-04,1.6204e-09,True,0.9667,0.0,0.07
47,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.1005e-04,1.3961e-09,False,0.9667,0.0,0.07
48,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.1309e-04,1.1039e-09,True,0.9667,0.0,0.07
49,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.1041e-04,1.8954e-09,True,0.9667,0.0,0.07
50,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.1026e-04,1.0249e-09,False,0.9667,0.0,0.07
51,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.3855e-04,2.2726e-09,True,0.9667,0.0,0.07
52,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,4.2887e-04,1.3432e-09,True,0.9667,0.0,0.07
53,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.8219e-04,1.6162e-09,True,0.9667,0.0,0.07
54,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.4329e-04,1.1999e-09,True,0.9667,0.0,0.07
55,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,1.8520e-04,1.8370e-09,True,0.9667,0.0,0.07
56,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.4205e-04,1.4351e-09,True,0.9667,0.0,0.07
57,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.0391e-04,1.3166e-09,True,0.9667,0.0,0.07
58,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,1.6809e-04,2.3398e-09,True,0.9667,0.0,0.07
59,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.2758e-04,2.2721e-09,True,0.9667,0.0,0.07
0,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.8543e-04,1.4071e-09,True,0.9667,6.5,0.24
1,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.7688e-04,2.3090e-09,True,0.9667,6.5,0.24
2,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.4879e-04,1.2473e-09,True,0.9667,6.5,0.24
3,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.4892e-04,1.4374e-09,True,0.9667,6.5,0.24
4,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.6116e-04,1.5047e-09,True,0.9667,6.5,0.24
5,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,1.8785e-04,2.1071e-09,True,0.9667,6.5,0.24
6,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.6712e-04,1.4545e-09,True,0.9667,6.5,0.24
7,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.5732e-04,1.6231e-09,True,0.9667,6.5,0.24
8,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.8735e-04,1.1776e-09,True,0.9667,6.5,0.24
9,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.7903e-04,1.6677e-09,True,0.9667,6.5,0.24
10,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.6531e-04,1.0648e-09,True,0.9667,6.5,0.24
11,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.0665e-04,1.3049e-09,True,0.9667,6.5,0.24
12,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,3.4569e-04,1.7623e-09,True,0.9667,6.5,0.24
13,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,1.8665e-04,1.1076e-09,True,0.9667,6.5,0.24
14,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,3.8756e-04,1.5211e-09,True,0.9667,6.5,0.24
15,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.3735e-04,1.1969e-09,True,0.9667,6.5,0.24
16,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,3.7518e-04,1.4798e-09,True,0.9667,6.5,0.24
17,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,2.8511e-04,1.5969e-09,True,0.9667,6.5,0.24
18,v3_hardened,100_symbol_preamble;5_tap_dfe;gardner_timing_tracking,16QAM,7200,hamming74,64,0.1,100,3.0865e-04,1.9200e-09,True,0.9667,6.5,0.24
