modulation,symbol_rate,ecc,interleaving_depth,median_raw_ber,median_post_ecc_ber,net_payload_bitrate_bps,payload_MB_per_C60_side,clean_decode_rate,hits_real_lm_threshold,eligible_recommendation
BPSK,9600,none,16,6.9297e-05,8.0569e-09,9600.0,2.16,0.8625,True,False
BPSK,9600,none,64,6.8261e-05,2.8752e-09,9600.0,2.16,0.9125,True,False
BPSK,9600,hamming74,1,6.9943e-05,2.0209e-08,5485.71,1.234,0.825,True,False
BPSK,9600,hamming74,4,7.2121e-05,5.4508e-09,5485.71,1.234,0.95,True,True
BPSK,9600,hamming74,16,6.9297e-05,1.5560e-09,5485.71,1.234,1.0,True,True
BPSK,9600,hamming74,64,6.8261e-05,4.3498e-10,5485.71,1.234,0.9875,True,True
BPSK,9600,rep3,1,6.9943e-05,1.3076e-08,3200.0,0.72,0.925,True,False
BPSK,9600,rep3,4,7.2121e-05,3.5270e-09,3200.0,0.72,0.975,True,True
BPSK,9600,rep3,16,6.9297e-05,1.0068e-09,3200.0,0.72,1.0,True,True
BPSK,9600,rep3,64,6.8261e-05,2.8146e-10,3200.0,0.72,0.9875,True,True
BPSK,9600,rep5,1,6.9943e-05,7.7270e-09,1920.0,0.432,0.9625,True,True
BPSK,9600,rep5,4,7.2121e-05,2.0841e-09,1920.0,0.432,1.0,True,True
BPSK,9600,rep5,16,6.9297e-05,5.9494e-10,1920.0,0.432,1.0,True,True
BPSK,9600,rep5,64,6.8261e-05,1.6632e-10,1920.0,0.432,1.0,True,True
BPSK,12000,none,1,7.3578e-05,6.9750e-08,12000.0,2.7,0.2625,True,False
BPSK,12000,none,4,7.1551e-05,2.8434e-08,12000.0,2.7,0.5125,True,False
BPSK,12000,none,16,6.8142e-05,1.1584e-08,12000.0,2.7,0.75,True,False
BPSK,12000,none,64,6.9809e-05,4.6692e-09,12000.0,2.7,0.9,True,False
BPSK,12000,hamming74,1,7.3578e-05,1.8850e-08,6857.14,1.543,0.8375,True,False
BPSK,12000,hamming74,4,7.1551e-05,5.3135e-09,6857.14,1.543,0.8875,True,False
BPSK,12000,hamming74,16,6.8142e-05,1.6255e-09,6857.14,1.543,0.9875,True,True
BPSK,12000,hamming74,64,6.9809e-05,4.4891e-10,6857.14,1.543,1.0,True,True
BPSK,12000,rep3,1,7.3578e-05,1.2197e-08,4000.0,0.9,0.9375,True,False
BPSK,12000,rep3,4,7.1551e-05,3.4381e-09,4000.0,0.9,0.95,True,True
BPSK,12000,rep3,16,6.8142e-05,1.0518e-09,4000.0,0.9,0.9875,True,True
BPSK,12000,rep3,64,6.9809e-05,2.9047e-10,4000.0,0.9,1.0,True,True
BPSK,12000,rep5,1,7.3578e-05,7.2072e-09,2400.0,0.54,0.975,True,True
BPSK,12000,rep5,4,7.1551e-05,2.0316e-09,2400.0,0.54,0.9875,True,True
BPSK,12000,rep5,16,6.8142e-05,6.2150e-10,2400.0,0.54,1.0,True,True
BPSK,12000,rep5,64,6.9809e-05,1.7164e-10,2400.0,0.54,1.0,True,True
QPSK,1200,none,1,1.1744e-04,8.6463e-08,2400.0,0.54,0.65,True,False
QPSK,1200,none,4,1.1016e-04,2.4350e-08,2400.0,0.54,0.95,True,True
QPSK,1200,none,16,1.0236e-04,7.5085e-09,2400.0,0.54,0.9625,True,True
QPSK,1200,none,64,1.1195e-04,1.9931e-09,2400.0,0.54,0.9875,True,True
QPSK,1200,hamming74,1,1.1744e-04,2.9386e-08,1371.43,0.309,0.925,True,False
QPSK,1200,hamming74,4,1.1016e-04,8.2692e-09,1371.43,0.309,1.0,True,True
QPSK,1200,hamming74,16,1.0236e-04,2.5478e-09,1371.43,0.309,1.0,True,True
QPSK,1200,hamming74,64,1.1195e-04,6.7536e-10,1371.43,0.309,0.9875,True,True
QPSK,1200,rep3,1,1.1744e-04,1.9015e-08,800.0,0.18,0.9375,True,False
QPSK,1200,rep3,4,1.1016e-04,5.3506e-09,800.0,0.18,1.0,True,True
QPSK,1200,rep3,16,1.0236e-04,1.6486e-09,800.0,0.18,1.0,True,True
QPSK,1200,rep3,64,1.1195e-04,4.3700e-10,800.0,0.18,0.9875,True,True
QPSK,1200,rep5,1,1.1744e-04,1.1236e-08,480.0,0.108,0.9875,True,True
QPSK,1200,rep5,4,1.1016e-04,3.1617e-09,480.0,0.108,1.0,True,True
QPSK,1200,rep5,16,1.0236e-04,9.7415e-10,480.0,0.108,1.0,True,True
QPSK,1200,rep5,64,1.1195e-04,2.5823e-10,480.0,0.108,0.9875,True,True
QPSK,2400,none,1,1.0549e-04,9.0270e-08,4800.0,1.08,0.5875,True,False
QPSK,2400,none,4,1.1325e-04,2.6714e-08,4800.0,1.08,0.725,True,False
QPSK,2400,none,16,1.0905e-04,7.2043e-09,4800.0,1.08,0.9375,True,False
QPSK,2400,none,64,1.0689e-04,1.9635e-09,4800.0,1.08,0.9875,True,True
QPSK,2400,hamming74,1,1.0549e-04,3.0597e-08,2742.86,0.617,0.875,True,False
QPSK,2400,hamming74,4,1.1325e-04,8.9939e-09,2742.86,0.617,0.925,True,False
QPSK,2400,hamming74,16,1.0905e-04,2.4062e-09,2742.86,0.617,1.0,True,True
QPSK,2400,hamming74,64,1.0689e-04,6.5013e-10,2742.86,0.617,1.0,True,True
QPSK,2400,rep3,1,1.0549e-04,1.9798e-08,1600.0,0.36,0.9625,True,True
QPSK,2400,rep3,4,1.1325e-04,5.8196e-09,1600.0,0.36,0.975,True,True
QPSK,2400,rep3,16,1.0905e-04,1.5570e-09,1600.0,0.36,1.0,True,True
QPSK,2400,rep3,64,1.0689e-04,4.2067e-10,1600.0,0.36,1.0,True,True
QPSK,2400,rep5,1,1.0549e-04,1.1699e-08,960.0,0.216,0.975,True,True
QPSK,2400,rep5,4,1.1325e-04,3.4389e-09,960.0,0.216,1.0,True,True
QPSK,2400,rep5,16,1.0905e-04,9.2002e-10,960.0,0.216,1.0,True,True
QPSK,2400,rep5,64,1.0689e-04,2.4858e-10,960.0,0.216,1.0,True,True
QPSK,4800,none,1,1.0682e-04,9.2764e-08,9600.0,2.16,0.225,True,False
QPSK,4800,none,4,1.1146e-04,2.5600e-08,9600.0,2.16,0.725,True,False
QPSK,4800,none,16,1.0970e-04,9.3562e-09,9600.0,2.16,0.8875,True,False
QPSK,4800,none,64,1.0660e-04,2.7082e-09,9600.0,2.16,0.9625,True,True
QPSK,4800,hamming74,1,1.0682e-04,3.0749e-08,5485.71,1.234,0.775,True,False
QPSK,4800,hamming74,4,1.1146e-04,8.0767e-09,5485.71,1.234,0.9625,True,True
QPSK,4800,hamming74,16,1.0970e-04,2.7748e-09,5485.71,1.234,0.9875,True,True
QPSK,4800,hamming74,64,1.0660e-04,7.3637e-10,5485.71,1.234,1.0,True,True
QPSK,4800,rep3,1,1.0682e-04,1.9896e-08,3200.0,0.72,0.925,True,False
QPSK,4800,rep3,4,1.1146e-04,5.2261e-09,3200.0,0.72,0.975,True,True
QPSK,4800,rep3,16,1.0970e-04,1.7955e-09,3200.0,0.72,1.0,True,True
QPSK,4800,rep3,64,1.0660e-04,4.7648e-10,3200.0,0.72,1.0,True,True
QPSK,4800,rep5,1,1.0682e-04,1.1757e-08,1920.0,0.432,0.9875,True,True
QPSK,4800,rep5,4,1.1146e-04,3.0881e-09,1920.0,0.432,1.0,True,True
QPSK,4800,rep5,16,1.0970e-04,1.0610e-09,1920.0,0.432,1.0,True,True
QPSK,4800,rep5,64,1.0660e-04,2.8155e-10,1920.0,0.432,1.0,True,True
QPSK,7200,none,1,1.0796e-04,9.5728e-08,14400.0,3.24,0.05,True,False
QPSK,7200,none,4,1.1182e-04,3.0509e-08,14400.0,3.24,0.4625,True,False
QPSK,7200,none,16,1.1428e-04,1.1370e-08,14400.0,3.24,0.725,True,False
QPSK,7200,none,64,1.0890e-04,3.6787e-09,14400.0,3.24,0.9125,True,False
QPSK,7200,hamming74,1,1.0796e-04,2.9798e-08,8228.57,1.851,0.525,True,False
QPSK,7200,hamming74,4,1.1182e-04,8.0416e-09,8228.57,1.851,0.8625,True,False
QPSK,7200,hamming74,16,1.1428e-04,2.5095e-09,8228.57,1.851,0.9375,True,False
QPSK,7200,hamming74,64,1.0890e-04,6.5651e-10,8228.57,1.851,1.0,True,True
QPSK,7200,rep3,1,1.0796e-04,1.9281e-08,4800.0,1.08,0.8,True,False
QPSK,7200,rep3,4,1.1182e-04,5.2034e-09,4800.0,1.08,0.925,True,False
QPSK,7200,rep3,16,1.1428e-04,1.6238e-09,4800.0,1.08,0.9875,True,True
QPSK,7200,rep3,64,1.0890e-04,4.2480e-10,4800.0,1.08,1.0,True,True
QPSK,7200,rep5,1,1.0796e-04,1.1393e-08,2880.0,0.648,0.9125,True,False
QPSK,7200,rep5,4,1.1182e-04,3.0747e-09,2880.0,0.648,0.9625,True,True
QPSK,7200,rep5,16,1.1428e-04,9.5953e-10,2880.0,0.648,1.0,True,True
QPSK,7200,rep5,64,1.0890e-04,2.5102e-10,2880.0,0.648,1.0,True,True
QPSK,9600,none,1,1.0992e-04,1.1445e-07,19200.0,4.32,0.0375,True,False
QPSK,9600,none,4,1.1334e-04,4.3505e-08,19200.0,4.32,0.2375,True,False
QPSK,9600,none,16,1.0890e-04,1.5867e-08,19200.0,4.32,0.5625,True,False
QPSK,9600,none,64,1.0727e-04,6.5612e-09,19200.0,4.32,0.75,True,False
