modulation,symbol_rate,ecc,interleaving_depth,raw_ber,post_ecc_ber,net_payload_bitrate_bps,payload_MB_per_C60_side,clean_decode_probability_per_side,hits_phase2_ber_target
BPSK,12000,rep5,1,1.5974e-08,4.0764e-23,2400.0,0.54,1.0,True
BPSK,12000,rep5,16,1.5974e-08,1.8344e-23,2400.0,0.54,1.0,True
BPSK,12000,rep5,64,1.5974e-08,9.1719e-24,2400.0,0.54,1.0,True
QPSK,1200,none,1,3.3257e-11,3.3257e-11,2400.0,0.54,0.999856,True
QPSK,1200,none,16,3.3257e-11,1.4965e-11,2400.0,0.54,0.999935,True
QPSK,1200,none,64,3.3257e-11,7.4827e-12,2400.0,0.54,0.999968,True
QPSK,1200,hamming74,1,3.3257e-11,8.3267e-17,1371.43,0.309,1.0,True
QPSK,1200,hamming74,16,3.3257e-11,3.7470e-17,1371.43,0.309,1.0,True
QPSK,1200,hamming74,64,3.3257e-11,1.8735e-17,1371.43,0.309,1.0,True
QPSK,1200,rep3,1,3.3257e-11,3.3180e-21,800.0,0.18,1.0,True
QPSK,1200,rep3,16,3.3257e-11,1.4931e-21,800.0,0.18,1.0,True
QPSK,1200,rep3,64,3.3257e-11,7.4655e-22,800.0,0.18,1.0,True
QPSK,1200,rep5,1,3.3257e-11,3.6782e-31,480.0,0.108,1.0,True
QPSK,1200,rep5,16,3.3257e-11,1.6552e-31,480.0,0.108,1.0,True
QPSK,1200,rep5,64,3.3257e-11,8.2759e-32,480.0,0.108,1.0,True
QPSK,2400,none,1,2.7281e-10,2.7281e-10,4800.0,1.08,0.997646,True
QPSK,2400,none,16,2.7281e-10,1.2277e-10,4800.0,1.08,0.99894,True
QPSK,2400,none,64,2.7281e-10,6.1383e-11,4800.0,1.08,0.99947,True
QPSK,2400,hamming74,1,2.7281e-10,-1.1102e-16,2742.86,0.617,1.0,True
QPSK,2400,hamming74,16,2.7281e-10,-4.9960e-17,2742.86,0.617,1.0,True
QPSK,2400,hamming74,64,2.7281e-10,-2.4980e-17,2742.86,0.617,1.0,True
QPSK,2400,rep3,1,2.7281e-10,2.2328e-19,1600.0,0.36,1.0,True
QPSK,2400,rep3,16,2.7281e-10,1.0048e-19,1600.0,0.36,1.0,True
QPSK,2400,rep3,64,2.7281e-10,5.0238e-20,1600.0,0.36,1.0,True
QPSK,2400,rep5,1,2.7281e-10,2.0305e-28,960.0,0.216,1.0,True
QPSK,2400,rep5,16,2.7281e-10,9.1372e-29,960.0,0.216,1.0,True
QPSK,2400,rep5,64,2.7281e-10,4.5686e-29,960.0,0.216,1.0,True
QPSK,4800,none,1,2.2766e-09,2.2766e-09,9600.0,2.16,0.961425,True
QPSK,4800,none,16,2.2766e-09,1.0245e-09,9600.0,2.16,0.982453,True
QPSK,4800,none,64,2.2766e-09,5.1223e-10,9600.0,2.16,0.991188,True
QPSK,4800,hamming74,1,2.2766e-09,2.7756e-17,5485.71,1.234,1.0,True
QPSK,4800,hamming74,16,2.2766e-09,1.2490e-17,5485.71,1.234,1.0,True
QPSK,4800,hamming74,64,2.2766e-09,6.2450e-18,5485.71,1.234,1.0,True
QPSK,4800,rep3,1,2.2766e-09,1.5548e-17,3200.0,0.72,1.0,True
QPSK,4800,rep3,16,2.2766e-09,6.9968e-18,3200.0,0.72,1.0,True
